Pressure (bar),Flow (L/min),Flow (mL/s)
5.3382,0.0,0.0
5.3402,0.0,0.0
5.3422,0.0,0.0
5.356,0.0,0.0
5.3442,0.0,0.0
5.3185,0.0,0.0
5.3165,0.0,0.0
5.3165,0.0,0.0
5.3382,0.0,0.0
5.3382,0.0,0.0
5.3402,0.0,0.0
5.3343,0.0,0.0
5.3442,0.0,0.0
5.3185,0.0,0.0
5.3442,0.0,0.0
5.3422,0.0,0.0
5.3284,0.0,0.0
5.3343,0.0,0.0
5.3264,0.0,0.0
5.3343,0.0,0.0
5.3264,0.0,0.0
5.3422,0.0,0.0
5.3422,0.0,0.0
5.3382,0.0,0.0
5.3303,0.0,0.0
5.3264,0.0,0.0
5.3146,0.0,0.0
5.3481,0.0,0.0
5.3422,0.0,0.0
5.3323,0.0,0.0
5.3224,0.0,0.0
5.3343,0.0,0.0
5.3363,0.0,0.0
5.3343,0.0,0.0
5.3442,0.0,0.0
5.3422,0.0,0.0
5.3323,0.0,0.0
5.3402,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3422,0.0,0.0
5.3382,0.0,0.0
5.3422,0.0,0.0
5.3343,0.0,0.0
5.3382,0.0,0.0
5.3422,0.0,0.0
5.3284,0.0,0.0
5.3422,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3323,0.0,0.0
5.3402,0.0,0.0
5.3264,0.0,0.0
5.3521,0.0,0.0
5.3303,0.0,0.0
5.3402,0.0,0.0
5.3422,0.0,0.0
5.3323,0.0,0.0
5.3205,0.0,0.0
5.3343,0.0,0.0
5.3422,0.0,0.0
5.3303,0.0,0.0
5.3382,0.0,0.0
5.3323,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3343,0.0,0.0
5.3501,0.0,0.0
5.3323,0.0,0.0
5.3323,0.0,0.0
5.3382,0.0,0.0
5.3422,0.0,0.0
5.3244,0.0,0.0
5.3422,0.0,0.0
5.3343,0.0,0.0
5.3323,0.0,0.0
5.3382,0.0,0.0
5.3343,0.0,0.0
5.3343,0.0,0.0
5.3323,0.0,0.0
5.3382,0.0,0.0
5.3146,0.0,0.0
5.3382,0.0,0.0
5.3422,0.0,0.0
5.3244,0.0,0.0
5.3244,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3363,0.0,0.0
5.3442,0.0,0.0
5.3303,0.0,0.0
5.3422,0.0,0.0
5.3481,0.0,0.0
5.3323,0.0,0.0
5.3323,0.0,0.0
5.3244,0.0,0.0
5.3244,0.0,0.0
5.3422,0.0,0.0
5.3461,0.0,0.0
5.3422,0.0,0.0
5.3343,0.0,0.0
5.3382,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3224,0.0,0.0
5.3442,0.0,0.0
5.3264,0.0,0.0
5.3442,0.0,0.0
5.3244,0.0,0.0
5.3382,0.0,0.0
5.3343,0.0,0.0
5.3027,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3323,0.0,0.0
5.3146,0.0,0.0
5.3106,0.0,0.0
5.3205,0.0,0.0
5.2593,0.0,0.0
5.3481,0.0,0.0
5.3382,0.0,0.0
5.3836,0.0,0.0
5.3224,0.0,0.0
5.3422,0.0,0.0
5.3402,0.0,0.0
5.3264,0.0,0.0
5.3323,0.0,0.0
5.3521,0.0,0.0
5.3244,0.0,0.0
5.3323,0.0,0.0
5.3126,0.0,0.0
5.3146,0.0,0.0
5.3224,0.0,0.0
5.3402,0.0,0.0
5.3382,0.0,0.0
5.3323,0.0,0.0
5.3264,0.0,0.0
5.3402,0.0,0.0
5.3442,0.0,0.0
5.3126,0.0,0.0
5.3343,0.0,0.0
5.3303,0.0,0.0
5.3382,0.0,0.0
5.3323,0.0,0.0
5.3422,0.0,0.0
5.3224,0.0,0.0
5.3343,0.0,0.0
5.3323,0.0,0.0
5.3363,0.0,0.0
5.3363,0.0,0.0
5.3323,0.0,0.0
5.3343,0.0,0.0
5.3323,0.0,0.0
5.3402,0.0,0.0
5.3264,0.0,0.0
5.3442,0.0,0.0
5.3343,0.0,0.0
5.3323,0.0,0.0
5.3343,0.0,0.0
5.3382,0.0,0.0
5.3323,0.0,0.0
5.3363,0.0,0.0
5.3442,0.0,0.0
5.3323,0.0,0.0
5.3402,0.0,0.0
5.3323,0.0,0.0
5.3382,0.0,0.0
5.3343,0.0,0.0
5.3461,0.0,0.0
5.3382,0.0,0.0
5.3501,0.0,0.0
5.3363,0.0,0.0
5.3442,0.0,0.0
5.3244,0.0,0.0
5.3461,0.0,0.0
5.3422,0.0,0.0
5.3343,0.0,0.0
5.3402,0.0,0.0
5.3422,0.0,0.0
5.3382,0.0,0.0
5.3402,0.0,0.0
5.3442,0.0,0.0
5.3303,0.0,0.0
5.3303,0.0,0.0
5.3382,0.0,0.0
5.3442,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3323,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3343,0.0,0.0
5.3461,0.0,0.0
5.3442,0.0,0.0
5.3244,0.0,0.0
5.3284,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3284,0.0,0.0
5.3363,0.0,0.0
5.3442,0.0,0.0
5.3343,0.0,0.0
5.3422,0.0,0.0
5.3363,0.0,0.0
5.3402,0.0,0.0
5.3264,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3323,0.0,0.0
5.3185,0.0,0.0
5.3442,0.0,0.0
5.3303,0.0,0.0
5.3461,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3402,0.0,0.0
5.3422,0.0,0.0
5.3422,0.0,0.0
5.3422,0.0,0.0
