Pressure (bar),Flow (L/min),Flow (mL/s)
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6294,0.0,0.0
0.6491,0.0,0.0
0.6392,0.0,0.0
0.6254,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.6373,0.0,0.0
0.655,0.0,0.0
0.6432,0.0,0.0
0.6373,0.0,0.0
0.6392,0.0,0.0
0.6314,0.0,0.0
0.6669,0.0,0.0
0.6452,0.0,0.0
0.6767,0.0,0.0
0.6333,0.0,0.0
0.6373,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6156,0.0,0.0
0.58,0.0,0.0
0.6353,0.0,0.0
0.6412,0.0,0.0
0.6353,0.0,0.0
0.6392,0.0,0.0
0.657,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6294,0.0,0.0
0.6353,0.0,0.0
0.6136,0.0,0.0
0.6314,0.0,0.0
0.6373,0.0,0.0
0.6412,0.0,0.0
0.6333,0.0,0.0
0.6353,0.0,0.0
0.6353,0.0,0.0
0.6353,0.0,0.0
0.6373,0.0,0.0
0.6432,0.0,0.0
0.6373,0.0,0.0
0.6412,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6392,0.0,0.0
0.6294,0.0,0.0
0.6353,0.0,0.0
0.6353,0.0,0.0
0.6294,0.0,0.0
0.6333,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6373,0.0,0.0
0.6294,0.0,0.0
0.6491,0.0,0.0
0.6215,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.6452,0.0,0.0
0.6392,0.0,0.0
0.6314,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.661,0.0,0.0
0.6392,0.0,0.0
0.6452,0.0,0.0
0.6353,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6432,0.0,0.0
0.6373,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6333,0.0,0.0
0.6412,0.0,0.0
0.6373,0.0,0.0
0.6432,0.0,0.0
0.6491,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6373,0.0,0.0
0.6392,0.0,0.0
0.6452,0.0,0.0
0.6412,0.0,0.0
0.6392,0.0,0.0
0.6511,0.0,0.0
0.6412,0.0,0.0
0.6294,0.0,0.0
0.6452,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6432,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6432,0.0,0.0
0.6294,0.0,0.0
0.6392,0.0,0.0
0.6175,0.0,0.0
0.6412,0.0,0.0
0.6294,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6452,0.0,0.0
0.661,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6432,0.0,0.0
0.6432,0.0,0.0
0.6333,0.0,0.0
0.6353,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6333,0.0,0.0
0.5879,0.0,0.0
0.6353,0.0,0.0
0.6314,0.0,0.0
0.6373,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6254,0.0,0.0
0.6412,0.0,0.0
0.6392,0.0,0.0
0.6432,0.0,0.0
1.6832,0.0,0.0
2.224,0.0,0.0
2.4135,0.0,0.0
2.5023,0.0,0.0
2.8378,0.0,0.0
3.1141,0.0,0.0
3.2858,0.0,0.0
3.4515,0.0,0.0
3.6015,0.0,0.0
3.7022,0.0,0.0
3.7712,0.0,0.0
3.8739,0.0,0.0
3.9252,0.0,0.0
3.9804,0.0,0.0
4.0239,0.0,0.0
4.0811,0.0,0.0
4.1146,0.0,0.0
4.164,0.0,0.0
4.2015,0.0,0.0
4.237,0.0,0.0
4.2824,0.0,0.0
4.3081,0.0,0.0
4.3653,0.0,0.0
4.4087,0.0,0.0
4.4304,0.0,0.0
4.4659,0.0,0.0
4.5054,0.0,0.0
4.535,1.4521,2.4202
4.5863,1.4521,2.4202
4.6061,1.4521,2.4202
4.6534,1.4521,2.4202
4.6791,1.4521,2.4202
4.7126,1.4521,2.4202
4.7383,1.4521,2.4202
4.7718,1.4521,2.4202
4.8054,1.4521,2.4202
4.8054,1.4521,2.4202
4.8646,1.4521,2.4202
4.8962,1.4521,2.4202
4.906,1.4521,2.4202
4.906,1.4521,2.4202
