Pressure (bar),Flow (L/min),Flow (mL/s)
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6373,0.0,0.0
0.6274,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6452,0.0,0.0
0.6353,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6333,0.0,0.0
0.6432,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.6314,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6412,0.0,0.0
0.6471,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.6412,0.0,0.0
0.6412,0.0,0.0
0.6314,0.0,0.0
0.6392,0.0,0.0
0.6175,0.0,0.0
0.6254,0.0,0.0
0.6373,0.0,0.0
0.6432,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6314,0.0,0.0
0.6392,0.0,0.0
0.6985,0.0,0.0
0.6373,0.0,0.0
0.6215,0.0,0.0
0.6333,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6077,0.0,0.0
0.6432,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6314,0.0,0.0
0.6471,0.0,0.0
0.6373,0.0,0.0
0.6077,0.0,0.0
0.6432,0.0,0.0
0.6156,0.0,0.0
0.6274,0.0,0.0
0.6373,0.0,0.0
0.6412,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.6333,0.0,0.0
0.6373,0.0,0.0
0.6294,0.0,0.0
0.6392,0.0,0.0
0.6215,0.0,0.0
0.6373,0.0,0.0
0.6432,0.0,0.0
0.6333,0.0,0.0
0.6353,0.0,0.0
0.6294,0.0,0.0
0.6353,0.0,0.0
0.6294,0.0,0.0
0.6373,0.0,0.0
0.6392,0.0,0.0
0.6511,0.0,0.0
0.6274,0.0,0.0
0.6254,0.0,0.0
0.6392,0.0,0.0
0.6294,0.0,0.0
0.6392,0.0,0.0
0.6412,0.0,0.0
0.6333,0.0,0.0
0.6471,0.0,0.0
0.6452,0.0,0.0
0.6432,0.0,0.0
0.659,0.0,0.0
0.6452,0.0,0.0
0.6452,0.0,0.0
0.6392,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6471,0.0,0.0
0.6412,0.0,0.0
0.6353,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.659,0.0,0.0
0.6373,0.0,0.0
0.6353,0.0,0.0
0.6491,0.0,0.0
0.6392,0.0,0.0
0.6274,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6432,0.0,0.0
0.6373,0.0,0.0
0.6333,0.0,0.0
0.6511,0.0,0.0
0.6392,0.0,0.0
0.6353,0.0,0.0
0.6392,0.0,0.0
0.6333,0.0,0.0
0.6254,0.0,0.0
0.6392,0.0,0.0
0.6373,0.0,0.0
0.6294,0.0,0.0
0.6314,0.0,0.0
0.6353,0.0,0.0
0.6531,0.0,0.0
0.6294,0.0,0.0
0.6373,0.0,0.0
0.6274,0.0,0.0
0.6353,0.0,0.0
0.6274,0.0,0.0
0.6491,0.0,0.0
0.6412,0.0,0.0
0.6333,0.0,0.0
0.6314,0.0,0.0
0.6432,0.0,0.0
0.8109,0.0,0.0
2.076,0.0,0.0
2.2931,0.0,0.0
2.4529,0.0,0.0
2.6898,0.0,0.0
3.0331,0.0,0.0
3.2206,0.0,0.0
3.4496,0.0,0.0
3.5976,0.0,0.0
3.7318,0.0,0.0
3.8344,0.0,0.0
3.9054,0.0,0.0
3.9824,0.0,0.0
4.0495,0.0,0.0
4.1008,0.0,0.0
4.1719,0.0,0.0
4.2035,0.0,0.0
4.2271,0.0,0.0
4.2923,0.0,0.0
4.3337,0.0,0.0
4.385,0.0,0.0
4.4225,0.0,0.0
4.4541,0.0,0.0
4.5015,0.0,0.0
4.5745,0.0,0.0
4.5883,0.0,0.0
4.6297,0.0,0.0
4.6495,0.0,0.0
4.687,1.1881,1.9802
4.7383,1.1881,1.9802
4.7343,1.1881,1.9802
4.8014,1.1881,1.9802
4.8646,1.1881,1.9802
4.9021,1.1881,1.9802
4.8962,1.1881,1.9802
4.9889,1.1881,1.9802
4.9416,1.1881,1.9802
4.9948,1.1881,1.9802
5.0244,1.1881,1.9802
5.0501,1.1881,1.9802
5.056,1.1881,1.9802
5.0896,1.1881,1.9802
5.0935,1.1881,1.9802
5.1547,1.1881,1.9802
5.1211,1.1881,1.9802
5.1527,1.1881,1.9802
5.1902,1.1881,1.9802
5.1685,1.1881,1.9802
5.1725,1.1881,1.9802
5.1804,1.1881,1.9802
5.1902,1.1881,1.9802
5.204,1.1881,1.9802
5.2139,1.1881,1.9802
5.2119,1.1881,1.9802
5.2238,1.1881,1.9802
5.2198,1.1881,1.9802
5.2277,1.1881,1.9802
5.2238,1.1881,1.9802
5.2396,1.1881,1.9802
5.2376,1.1881,1.9802
5.2494,1.1881,1.9802
